Designator,Mid X,Mid Y,Rotation,Layer
C1,107.0,-85.95,90.0,top
C2,104.5,-85.9,90.0,top
C3,117.0,-86.5,270.0,top
C4,124.0,-62.05,90.0,top
C5,126.0,-61.95,90.0,top
C6,128.0,-61.95,90.0,top
C7,104.95,-63.0,0.0,top
C8,112.5,-96.05,90.0,top
D2,105.15,-83.0,0.0,top
D3,104.9375,-79.0,0.0,top
J1,126.485,-105.025,270.0,top
J2,105.475,-93.4,270.0,top
J3,142.055,-97.0,90.0,top
R1,109.5,-83.0,180.0,top
R2,109.2875,-79.0,180.0,top
R3,117.0,-90.0375,90.0,top
R5,115.0,-73.4125,90.0,top
R6,129.0,-71.9125,90.0,top
R7,138.715,-105.025,270.0,top
R8,145.0,-86.5,90.0,top
R9,145.0,-82.7625,90.0,top
RE,109.6625,-63.25,0.0,top
SW1,107.75,-57.75,0.0,top
SW2,107.75,-73.25,180.0,top
U1,140.25,-64.76,0.0,top
U2,110.905,-88.425,0.0,top
U3,109.5,-97.8625,90.0,top
